

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.068  000.063: event init
000.163  000.095: early init
000.524  000.361: locale set
000.566  000.042: init first window
000.891  000.325: inits 1
000.910  000.020: window checked
001.119  000.208: parsing arguments
001.559  000.048  000.048: require('vim.shared')
001.665  000.037  000.037: require('vim._meta')
001.668  000.106  000.069: require('vim._editor')
001.670  000.218  000.064: require('vim._init_packages')
001.671  000.335: init lua interpreter
004.629  002.957: expanding arguments
004.679  000.050: inits 2
005.029  000.351: init highlight
005.034  000.004: waiting for UI
005.172  000.138: done waiting for UI
005.177  000.005: clear screen
005.364  000.187: init default mappings & autocommands
006.999  000.075  000.075: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/ftplugin.vim
007.093  000.034  000.034: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/indent.vim
007.978  000.516  000.516: require('lazy')
008.074  000.094  000.094: require('helpers.keys')
008.087  000.008  000.008: require('vim.keymap')
008.126  000.014  000.014: require('ffi')
008.180  000.051  000.051: require('vim.loader')
008.676  000.492  000.492: require('lazy.core.cache')
009.448  000.745  000.745: require('lazy.stats')
009.723  000.222  000.222: require('lazy.core.util')
009.860  000.135  000.135: require('lazy.core.config')
010.062  000.083  000.083: require('lazy.core.handler')
010.162  000.098  000.098: require('lazy.core.plugin')
010.168  000.306  000.126: require('lazy.core.loader')
010.748  000.082  000.082: require('plugins.bufferline')
010.842  000.085  000.085: require('plugins.cmp')
011.828  000.926  000.926: require('plugins.editor')
011.967  000.091  000.091: require('plugins.git')
012.105  000.105  000.105: require('plugins.lsp')
012.248  000.112  000.112: require('plugins.lualine')
012.339  000.084  000.084: require('plugins.misc')
012.569  000.211  000.211: require('plugins.null-ls')
012.667  000.084  000.084: require('plugins.themes')
012.779  000.094  000.094: require('plugins.treesitter')
013.957  000.252  000.252: require('lazy.core.handler.event')
013.965  000.402  000.149: require('lazy.core.handler.ft')
014.144  000.176  000.176: require('lazy.core.handler.cmd')
014.239  000.090  000.090: require('lazy.core.handler.keys')
014.709  000.228  000.228: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/filetype.lua
016.369  000.099  000.099: require('tokyonight.treesitter')
016.375  000.215  000.116: require('tokyonight.util')
016.645  000.092  000.092: require('tokyonight.colors')
016.648  000.271  000.180: require('tokyonight.theme')
016.723  000.073  000.073: require('tokyonight.config')
016.725  001.121  000.560: require('tokyonight')
019.551  001.359  001.359: require('vim.filetype')
020.638  000.112  000.112: require('luasnip.util.types')
020.768  000.128  000.128: require('luasnip.util.ext_opts')
021.212  000.101  000.101: require('luasnip.session')
021.228  000.286  000.184: require('luasnip.util.util')
021.230  000.460  000.174: require('luasnip.extras.filetype_functions')
021.509  001.716  001.017: require('luasnip.config')
021.811  000.065  000.065: require('luasnip.session.snippet_collection.source')
021.819  000.163  000.098: require('luasnip.session.snippet_collection')
022.372  000.484  000.484: require('luasnip.util._builtin_vars')
022.413  000.032  000.032: require('vim.inspect')
022.502  000.682  000.167: require('luasnip.util.environ')
022.581  000.077  000.077: require('luasnip.util.extend_decorator')
022.743  000.055  000.055: require('luasnip.loaders._caches')
022.816  000.071  000.071: require('luasnip.util.path')
022.825  000.243  000.117: require('luasnip.loaders')
022.912  000.082  000.082: require('luasnip.util.log')
022.928  001.413  000.165: require('luasnip')
022.949  004.815  000.327: sourcing /Users/v/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
023.028  000.024  000.024: sourcing /Users/v/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
024.948  001.215  001.215: require('cmp.utils.api')
025.071  000.057  000.057: require('cmp.types.cmp')
025.187  000.059  000.059: require('cmp.utils.misc')
025.197  000.124  000.065: require('cmp.types.lsp')
025.245  000.047  000.047: require('cmp.types.vim')
025.247  000.297  000.069: require('cmp.types')
025.314  000.066  000.066: require('cmp.utils.highlight')
025.459  000.075  000.075: require('cmp.utils.debug')
025.463  000.148  000.072: require('cmp.utils.autocmd')
025.741  002.062  000.336: sourcing /Users/v/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
026.227  000.130  000.130: require('cmp.utils.char')
026.234  000.238  000.108: require('cmp.utils.str')
026.297  000.062  000.062: require('cmp.utils.pattern')
026.501  000.063  000.063: require('cmp.utils.buffer')
026.506  000.147  000.084: require('cmp.utils.keymap')
026.509  000.211  000.064: require('cmp.utils.feedkeys')
026.762  000.087  000.087: require('cmp.config.mapping')
026.827  000.063  000.063: require('cmp.utils.cache')
027.009  000.107  000.107: require('cmp.config.compare')
027.011  000.182  000.075: require('cmp.config.default')
027.027  000.444  000.111: require('cmp.config')
027.039  000.528  000.085: require('cmp.utils.async')
027.125  000.085  000.085: require('cmp.context')
027.743  000.287  000.287: require('cmp.matcher')
027.768  000.557  000.270: require('cmp.entry')
027.777  000.650  000.093: require('cmp.source')
027.914  000.053  000.053: require('cmp.utils.event')
028.081  000.050  000.050: require('cmp.utils.options')
028.084  000.113  000.063: require('cmp.utils.window')
028.087  000.172  000.059: require('cmp.view.docs_view')
028.176  000.088  000.088: require('cmp.view.custom_entries_view')
028.253  000.075  000.075: require('cmp.view.wildmenu_entries_view')
028.321  000.067  000.067: require('cmp.view.native_entries_view')
028.405  000.083  000.083: require('cmp.view.ghost_text_view')
028.412  000.634  000.096: require('cmp.view')
029.017  003.151  000.743: require('cmp.core')
029.164  000.076  000.076: require('cmp.config.sources')
029.219  000.053  000.053: require('cmp.config.window')
029.256  003.494  000.214: require('cmp')
029.373  000.053  000.053: require('luasnip.loaders.util')
029.716  000.048  000.048: require('luasnip.nodes.key_indexer')
029.719  000.099  000.051: require('luasnip.nodes.util')
029.764  000.044  000.044: require('luasnip.util.events')
029.770  000.212  000.069: require('luasnip.nodes.node')
029.963  000.192  000.192: require('luasnip.nodes.insertNode')
030.032  000.067  000.067: require('luasnip.nodes.textNode')
030.084  000.050  000.050: require('luasnip.util.mark')
030.127  000.042  000.042: require('luasnip.util.pattern_tokenizer')
030.167  000.038  000.038: require('luasnip.util.dict')
030.182  000.706  000.104: require('luasnip.nodes.snippet')
030.324  000.046  000.046: require('luasnip.util.parser.neovim_ast')
030.371  000.046  000.046: require('luasnip.util.str')
037.719  000.085  000.085: require('luasnip.util.directed_graph')
037.724  007.493  007.316: require('luasnip.util.parser.ast_utils')
037.820  000.095  000.095: require('luasnip.nodes.functionNode')
037.901  000.079  000.079: require('luasnip.nodes.choiceNode')
037.978  000.075  000.075: require('luasnip.nodes.dynamicNode')
038.026  000.047  000.047: require('luasnip.util.functions')
038.029  007.846  000.057: require('luasnip.util.parser.ast_parser')
038.112  000.081  000.081: require('luasnip.util.parser.neovim_parser')
038.119  008.695  000.061: require('luasnip.util.parser')
038.122  008.747  000.052: require('luasnip.nodes.snippetProxy')
038.224  000.099  000.099: require('luasnip.util.jsonc')
038.227  008.970  000.070: require('luasnip/loaders/from_vscode')
044.179  000.022  000.022: sourcing /Users/v/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
